catalog_rank,common_name,scientific_name,kingdom,category,priority,planned_source,notes,inat_taxon_id,observations_count,iconic_taxon_name,wikipedia_url
1426,Bordered Patch,Chlosyne lacinia,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,68240,32440,Insecta,http://en.wikipedia.org/wiki/Chlosyne_lacinia
1427,common water hyacinth,Pontederia crassipes,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,962637,31724,Plantae,https://en.wikipedia.org/wiki/Pontederia_crassipes
1428,orange day-lily,Hemerocallis fulva,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,126583,43942,Plantae,http://en.wikipedia.org/wiki/Hemerocallis_fulva
1429,Northern Parula,Setophaga americana,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,145233,34078,Aves,https://en.wikipedia.org/wiki/Northern_parula
1430,Dun Skipper,Euphyes vestris,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,58514,28954,Insecta,http://en.wikipedia.org/wiki/Euphyes_vestris
1431,American Tree Sparrow,Spizelloides arborea,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,474210,30454,Aves,http://en.wikipedia.org/wiki/American_tree_sparrow
1432,Brown Widow,Latrodectus geometricus,Animalia,arachnid,P1,iNaturalist species_counts,iconic_taxon=Arachnida; common species by verifiable photo observations,47383,29291,Arachnida,http://en.wikipedia.org/wiki/Latrodectus_geometricus
1433,Common Ringlet,Coenonympha california,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,69145,32554,Insecta,https://en.wikipedia.org/wiki/Coenonympha_california
1434,California brittlebush,Encelia californica,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,64141,29819,Plantae,http://en.wikipedia.org/wiki/Encelia_californica
1435,Spotted Pink Lady Beetle,Coleomegilla maculata,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,126267,29302,Insecta,http://en.wikipedia.org/wiki/Coleomegilla_maculata
1436,Redhead,Aythya americana,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,7056,29497,Aves,http://en.wikipedia.org/wiki/Redhead_(bird)
1437,Yellow Shell Moth,Camptogramma bilineata,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,61972,29021,Insecta,http://en.wikipedia.org/wiki/Camptogramma_bilineata
1438,Large Maple Spanworm Moth,Prochoerodes lineola,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,143518,28675,Insecta,http://en.wikipedia.org/wiki/Prochoerodes_lineola
1439,White-tailed Eagle,Haliaeetus albicilla,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,5309,30311,Aves,http://en.wikipedia.org/wiki/White-tailed_eagle
1440,wax myrtle,Morella cerifera,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,119956,30137,Plantae,http://en.wikipedia.org/wiki/Myrica_cerifera
1441,Great Crested Flycatcher,Myiarchus crinitus,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,16028,34438,Aves,http://en.wikipedia.org/wiki/Great_crested_flycatcher
1442,stag's-horn clubmoss,Lycopodium clavatum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,77914,28790,Plantae,http://en.wikipedia.org/wiki/Lycopodium_clavatum
1443,panicled aster,Symphyotrichum lanceolatum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,79301,30037,Plantae,http://en.wikipedia.org/wiki/Symphyotrichum_lanceolatum
1444,deerweed,Acmispon glaber,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,53134,34002,Plantae,http://en.wikipedia.org/wiki/Acmispon_glaber
1445,common fig,Ficus carica,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,60218,51949,Plantae,http://en.wikipedia.org/wiki/Common_fig
1446,Sun spurge,Euphorbia helioscopia,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,56292,29056,Plantae,http://en.wikipedia.org/wiki/Euphorbia_helioscopia
1447,Swamp Milkweed Leaf Beetle,Labidomera clivicollis,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,82582,28559,Insecta,http://en.wikipedia.org/wiki/Milkweed_leaf_beetle
1448,Japanese stiltgrass,Microstegium vimineum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,116710,28907,Plantae,http://en.wikipedia.org/wiki/Microstegium_vimineum
1449,Pacific Black Duck,Anas superciliosa,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,6987,30400,Aves,http://en.wikipedia.org/wiki/Pacific_black_duck
1450,bur clover,Medicago polymorpha,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,53151,28727,Plantae,http://en.wikipedia.org/wiki/Medicago_polymorpha
1451,Lance-leaved Coreopsis,Coreopsis lanceolata,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,76444,32718,Plantae,http://en.wikipedia.org/wiki/Coreopsis_lanceolata
1452,Borage,Borago officinalis,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,52287,33559,Plantae,http://en.wikipedia.org/wiki/Borage
1453,White-spotted Sawyer,Monochamus scutellatus,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,82043,28600,Insecta,http://en.wikipedia.org/wiki/Monochamus_scutellatus
1454,Marsh Thistle,Cirsium palustre,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,160623,28817,Plantae,http://en.wikipedia.org/wiki/Cirsium_palustre
1455,Black-tailed Bumble Bee,Bombus melanopygus,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,130222,28270,Insecta,http://en.wikipedia.org/wiki/Bombus_melanopygus
1456,Orchard Oriole,Icterus spurius,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,9325,29896,Aves,https://en.wikipedia.org/wiki/Orchard_oriole
1457,western hemlock,Tsuga heterophylla,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,48254,29344,Plantae,http://en.wikipedia.org/wiki/Tsuga_heterophylla
1458,New York fern,Amauropelta noveboracensis,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,1398911,28600,Plantae,https://en.wikipedia.org/wiki/Amauropelta_noveboracensis
1459,Western Ratsnake,Pantherophis obsoletus,Animalia,reptile,P1,iNaturalist species_counts,iconic_taxon=Reptilia; common species by verifiable photo observations,73888,28646,Reptilia,http://en.wikipedia.org/wiki/Pantherophis_obsoletus
1460,Red Huckleberry,Vaccinium parvifolium,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,48354,28531,Plantae,http://en.wikipedia.org/wiki/Vaccinium_parvifolium
1461,Golden Dung Fly,Scathophaga stercoraria,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,132718,28274,Insecta,http://en.wikipedia.org/wiki/Scathophaga_stercoraria
1462,Common centaury,Centaurium erythraea,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,56236,28749,Plantae,http://en.wikipedia.org/wiki/Centaurium_erythraea
1463,American hog-peanut,Amphicarpaea bracteata,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,85485,28586,Plantae,http://en.wikipedia.org/wiki/Amphicarpaea_bracteata
1464,Sulphur-crested Cockatoo,Cacatua galerita,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,116834,30697,Aves,http://en.wikipedia.org/wiki/Sulphur-crested_cockatoo
1465,Cherry laurel,Prunus laurocerasus,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,61432,44485,Plantae,http://en.wikipedia.org/wiki/Prunus_laurocerasus
1466,Long-tailed Skipper,Urbanus proteus,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,67435,29104,Insecta,http://en.wikipedia.org/wiki/Long-tailed_skipper
1467,Ladder-backed Woodpecker,Dryobates scalaris,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,792986,28838,Aves,http://en.wikipedia.org/wiki/Ladder-backed_woodpecker
1468,Rambur's Forktail,Ischnura ramburii,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,70191,27876,Insecta,https://en.wikipedia.org/wiki/Rambur's_forktail
1469,Dog's Mercury,Mercurialis perennis,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,126757,28480,Plantae,http://en.wikipedia.org/wiki/Mercurialis_perennis
1470,Nashville Warbler,Leiothlypis ruficapilla,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,979753,31049,Aves,https://en.wikipedia.org/wiki/Nashville_warbler
1471,green false hellebore,Veratrum viride,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,79484,28825,Plantae,https://en.wikipedia.org/wiki/Veratrum_viride
1472,moth mullein,Verbascum blattaria,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,59028,28310,Plantae,http://en.wikipedia.org/wiki/Verbascum_blattaria
1473,Pacific Bleeding Heart,Dicentra formosa,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,51048,29274,Plantae,http://en.wikipedia.org/wiki/Dicentra_formosa
1474,Horned Lark,Eremophila alpestris,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,7294,30850,Aves,https://en.wikipedia.org/wiki/Horned_lark
1475,pale smartweed,Persicaria lapathifolia,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,63886,28196,Plantae,http://en.wikipedia.org/wiki/Persicaria_lapathifolia
1476,Pantropical Huntsman Spider,Heteropoda venatoria,Animalia,arachnid,P1,iNaturalist species_counts,iconic_taxon=Arachnida; common species by verifiable photo observations,48765,28404,Arachnida,http://en.wikipedia.org/wiki/Heteropoda_venatoria
1477,Cinnabar Bracket,Trametes sanguinea,Fungi,fungus,P1,iNaturalist species_counts,iconic_taxon=Fungi; common species by verifiable photo observations,974664,28239,Fungi,https://en.wikipedia.org/wiki/Pycnoporus_sanguineus
1478,Common Globetail,Sphaerophoria scripta,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,52964,27951,Insecta,http://en.wikipedia.org/wiki/Sphaerophoria_scripta
1479,Winter Firefly,Photinus corruscus,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,1616267,27720,Insecta,https://en.wikipedia.org/wiki/Ellychnia_corrusca
1480,Eastern Cicada-killer Wasp,Sphecius speciosus,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,51954,28305,Insecta,http://en.wikipedia.org/wiki/Sphecius_speciosus
1481,Common Heath,Ematurga atomaria,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,354801,27841,Insecta,http://en.wikipedia.org/wiki/Ematurga_atomaria
1482,Magpie-lark,Grallina cyanoleuca,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,8583,28595,Aves,http://en.wikipedia.org/wiki/Magpie-lark
1483,Marbled Godwit,Limosa fedoa,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,3954,28075,Aves,https://en.wikipedia.org/wiki/Marbled_godwit
1484,Common Checkered-Skipper,Burnsius communis,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,1038408,27859,Insecta,https://en.wikipedia.org/wiki/Burnsius_communis
1485,Swamp Sparrow,Melospiza georgiana,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,9096,30790,Aves,http://en.wikipedia.org/wiki/Swamp_sparrow
1486,coralberry,Symphoricarpos orbiculatus,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,128838,29100,Plantae,http://en.wikipedia.org/wiki/Symphoricarpos_orbiculatus
1487,Woodlouse Spider,Dysdera crocata,Animalia,arachnid,P1,iNaturalist species_counts,iconic_taxon=Arachnida; common species by verifiable photo observations,68912,28226,Arachnida,http://en.wikipedia.org/wiki/Woodlouse_spider
1488,Pacific Sanicle,Sanicula crassicaulis,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,53201,28503,Plantae,http://en.wikipedia.org/wiki/Sanicula_crassicaulis
1489,Stubble Rosegill,Volvopluteus gloiocephalus,Fungi,fungus,P1,iNaturalist species_counts,iconic_taxon=Fungi; common species by verifiable photo observations,348720,27864,Fungi,http://en.wikipedia.org/wiki/Volvopluteus_gloiocephalus
1490,Zebra Dove,Geopelia striata,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,3607,28784,Aves,http://en.wikipedia.org/wiki/Zebra_dove
1491,northern catalpa,Catalpa speciosa,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,76158,31848,Plantae,http://en.wikipedia.org/wiki/Catalpa_speciosa
1492,Yellow-legged Hornet,Vespa velutina,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,119019,31480,Insecta,http://en.wikipedia.org/wiki/Asian_hornet
1493,one-sided wintergreen,Orthilia secunda,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,78288,27681,Plantae,https://en.wikipedia.org/wiki/Orthilia
1494,Western Dusky Slug,Arion subfuscus,Animalia,mollusk,P1,iNaturalist species_counts,iconic_taxon=Mollusca; common species by verifiable photo observations,61428,27791,Mollusca,http://en.wikipedia.org/wiki/Arion_fuscus
1495,European Pied Flycatcher,Ficedula hypoleuca,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,204512,30536,Aves,http://en.wikipedia.org/wiki/European_pied_flycatcher
1496,Limpkin,Aramus guarauna,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,7,28998,Aves,http://en.wikipedia.org/wiki/Limpkin
1497,Dainty Sulphur,Nathalis iole,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,51773,28957,Insecta,http://en.wikipedia.org/wiki/Nathalis_iole
1498,Hart's-tongue fern,Asplenium scolopendrium,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,129105,33820,Plantae,http://en.wikipedia.org/wiki/Asplenium_scolopendrium
1499,common hibiscus,Hibiscus syriacus,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,126585,53939,Plantae,http://en.wikipedia.org/wiki/Hibiscus_syriacus
1500,sheep laurel,Kalmia angustifolia,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,53041,27802,Plantae,http://en.wikipedia.org/wiki/Kalmia_angustifolia
1501,Black horehound,Ballota nigra,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,56158,28341,Plantae,http://en.wikipedia.org/wiki/Ballota_nigra
1502,musk stork's-bill,Erodium moschatum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,57092,27724,Plantae,http://en.wikipedia.org/wiki/Erodium_moschatum
1503,hay-scented fern,Dennstaedtia punctilobula,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,63115,28009,Plantae,https://en.wikipedia.org/wiki/Dennstaedtia_punctilobula
1504,Western Wallflower,Erysimum capitatum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,50628,29474,Plantae,http://en.wikipedia.org/wiki/Erysimum_capitatum
1505,Bee Orchid,Ophrys apifera,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,83816,29437,Plantae,http://en.wikipedia.org/wiki/Ophrys_apifera
1506,Common Striped Woodlouse,Philoscia muscorum,Animalia,invertebrate,P1,iNaturalist species_counts,iconic_taxon=Animalia; common species by verifiable photo observations,48292,27679,Animalia,http://en.wikipedia.org/wiki/Philoscia_muscorum
1507,fragrant bedstraw,Galium triflorum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,53065,27724,Plantae,http://en.wikipedia.org/wiki/Galium_triflorum
1508,Greater Quaking Grass,Briza maxima,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,57157,27635,Plantae,http://en.wikipedia.org/wiki/Briza_maxima
1509,barnyardgrass,Echinochloa crus-galli,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,60283,27785,Plantae,http://en.wikipedia.org/wiki/Echinochloa_crus-galli
1510,Eurasian Beaver,Castor fiber,Animalia,mammal,P1,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,43793,27971,Mammalia,http://en.wikipedia.org/wiki/Eurasian_beaver
1511,Blue-winged Grasshopper,Oedipoda caerulescens,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,326052,28297,Insecta,http://en.wikipedia.org/wiki/Oedipoda_caerulescens
1512,Little Pied Cormorant,Microcarbo melanoleucos,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,370351,33749,Aves,http://en.wikipedia.org/wiki/Little_pied_cormorant
1513,black crowberry,Empetrum nigrum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,76812,29006,Plantae,https://en.wikipedia.org/wiki/Empetrum_nigrum
1514,wood nettle,Laportea canadensis,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,119802,27689,Plantae,http://en.wikipedia.org/wiki/Laportea_canadensis
1515,bristle thistle,Cirsium horridulum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,127269,27585,Plantae,http://en.wikipedia.org/wiki/Cirsium_horridulum
1516,laurel sumac,Malosma laurina,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,64122,27812,Plantae,http://en.wikipedia.org/wiki/Malosma
1517,Hedge mustard,Sisymbrium officinale,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,53266,27864,Plantae,http://en.wikipedia.org/wiki/Sisymbrium_officinale
1518,Alder Leaf Beetle,Agelastica alni,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,210933,27664,Insecta,http://en.wikipedia.org/wiki/Agelastica_alni
1519,Asthma Plant,Euphorbia hirta,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,131560,27620,Plantae,http://en.wikipedia.org/wiki/Euphorbia_hirta
1520,willow oak,Quercus phellos,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,119983,30857,Plantae,http://en.wikipedia.org/wiki/Quercus_phellos
1521,Woods' rose,Rosa woodsii,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,78887,28100,Plantae,http://en.wikipedia.org/wiki/Rosa_woodsii
1522,Bicolored Striped Sweat Bee,Agapostemon virescens,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,82530,27200,Insecta,http://en.wikipedia.org/wiki/Agapostemon_virescens
1523,California bay,Umbellularia californica,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,48807,28012,Plantae,http://en.wikipedia.org/wiki/Umbellularia
1524,chamise,Adenostoma fasciculatum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,47146,28029,Plantae,http://en.wikipedia.org/wiki/Adenostoma_fasciculatum
1525,hobblebush,Viburnum lantanoides,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,63166,27565,Plantae,http://en.wikipedia.org/wiki/Viburnum_lantanoides
1526,Common Duckweed,Lemna minor,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,54518,28064,Plantae,http://en.wikipedia.org/wiki/Lemna_minor
1527,Lesser Grass Blue,Zizina otis,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,125537,38589,Insecta,http://en.wikipedia.org/wiki/Zizina_otis
1528,Sweet Chestnut,Castanea sativa,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,121763,31152,Plantae,http://en.wikipedia.org/wiki/Castanea_sativa
1529,pitch pine,Pinus rigida,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,53464,28130,Plantae,http://en.wikipedia.org/wiki/Pinus_rigida
1530,Suffolk Lungwort,Pulmonaria obscura,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,245677,27397,Plantae,http://en.wikipedia.org/wiki/Pulmonaria_obscura
1531,northern blue flag,Iris versicolor,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,48726,28358,Plantae,http://en.wikipedia.org/wiki/Iris_versicolor
1532,Blue-gray Tanager,Thraupis episcopus,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,10295,28771,Aves,http://en.wikipedia.org/wiki/Blue-gray_tanager
1533,Marsh Frog,Pelophylax ridibundus,Animalia,amphibian,P1,iNaturalist species_counts,iconic_taxon=Amphibia; common species by verifiable photo observations,1319807,30475,Amphibia,https://en.wikipedia.org/wiki/Marsh_frog
1534,Mezereon,Daphne mezereum,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,133034,27890,Plantae,http://en.wikipedia.org/wiki/Daphne_mezereum
1535,southern magnolia,Magnolia grandiflora,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,83074,67172,Plantae,http://en.wikipedia.org/wiki/Magnolia_grandiflora
1536,Salad Burnet,Sanguisorba minor,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,55736,28956,Plantae,http://en.wikipedia.org/wiki/Sanguisorba_minor
1537,Walnut Orbweaver,Nuctenea umbratica,Animalia,arachnid,P1,iNaturalist species_counts,iconic_taxon=Arachnida; common species by verifiable photo observations,130092,27364,Arachnida,http://en.wikipedia.org/wiki/Nuctenea_umbratica
1538,Galah,Eolophus roseicapilla,Animalia,bird,P1,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,144560,30226,Aves,http://en.wikipedia.org/wiki/Galah
1539,bluebell,Hyacinthoides non-scripta,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,56132,28515,Plantae,http://en.wikipedia.org/wiki/Hyacinthoides_non-scripta
1540,Green Immigrant Leaf Weevil,Polydrusus formosus,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,494559,27331,Insecta,http://en.wikipedia.org/wiki/Polydrusus_formosus
1541,Eastern Eyed Click Beetle,Alaus oculatus,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,81706,27548,Insecta,http://en.wikipedia.org/wiki/Alaus_oculatus
1542,lodgepole pine,Pinus contorta,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,48934,43670,Plantae,http://en.wikipedia.org/wiki/Pinus_contorta
1543,Cedar Elm,Ulmus crassifolia,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,128823,28535,Plantae,http://en.wikipedia.org/wiki/Ulmus_crassifolia
1544,fringe cups,Tellima grandiflora,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,51655,27679,Plantae,http://en.wikipedia.org/wiki/Tellima
1545,common serviceberry,Amelanchier arborea,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,49226,31232,Plantae,http://en.wikipedia.org/wiki/Amelanchier_arborea
1546,lemon beebalm,Monarda citriodora,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,122587,28952,Plantae,http://en.wikipedia.org/wiki/Monarda_citriodora
1547,Slender Skimmer,Orthetrum sabina,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,107974,28354,Insecta,http://en.wikipedia.org/wiki/Orthetrum_sabina
1548,coast redwood,Sequoia sempervirens,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,47372,40456,Plantae,http://en.wikipedia.org/wiki/Sequoia_sempervirens
1549,Red-banded Leafhopper,Graphocephala coccinea,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,56925,27138,Insecta,http://en.wikipedia.org/wiki/Graphocephala_coccinea
1550,false nettle,Boehmeria cylindrica,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,75832,27283,Plantae,http://en.wikipedia.org/wiki/Boehmeria_cylindrica
1551,Bent-lined Carpet,Costaconvexa centrostrigaria,Animalia,insect,P1,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,143005,26764,Insecta,http://en.wikipedia.org/wiki/Costaconvexa_centrostrigaria
1552,wild asparagus,Asparagus officinalis,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,60265,28548,Plantae,http://en.wikipedia.org/wiki/Asparagus
1553,oceanblue morning glory,Ipomoea indica,Plantae,plant,P1,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,77496,29720,Plantae,http://en.wikipedia.org/wiki/Ipomoea_indica
1554,common bonnet,Mycena galericulata,Fungi,fungus,P1,iNaturalist species_counts,iconic_taxon=Fungi; common species by verifiable photo observations,63446,27285,Fungi,http://en.wikipedia.org/wiki/Mycena_galericulata
1555,Mediterranean Spiny False Wolf Spider,Zoropsis spinimana,Animalia,arachnid,P1,iNaturalist species_counts,iconic_taxon=Arachnida; common species by verifiable photo observations,127112,27469,Arachnida,http://en.wikipedia.org/wiki/Zoropsis_spinimana
