catalog_rank,common_name,scientific_name,kingdom,category,priority,planned_source,notes,inat_taxon_id,observations_count,iconic_taxon_name,wikipedia_url
42,Osprey,Pandion haliaetus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,116999,211395,Aves,http://en.wikipedia.org/wiki/Osprey
43,ribwort plantain,Plantago lanceolata,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,53178,191245,Plantae,http://en.wikipedia.org/wiki/Plantago_lanceolata
44,American Toad,Anaxyrus americanus,Animalia,amphibian,P0,iNaturalist species_counts,iconic_taxon=Amphibia; common species by verifiable photo observations,64968,217542,Amphibia,https://en.wikipedia.org/wiki/American_toad
45,turkey-tail,Trametes versicolor,Fungi,fungus,P0,iNaturalist species_counts,iconic_taxon=Fungi; common species by verifiable photo observations,54134,188143,Fungi,https://en.wikipedia.org/wiki/Trametes_versicolor
46,Common Raccoon,Procyon lotor,Animalia,mammal,P0,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,41663,192594,Mammalia,http://en.wikipedia.org/wiki/Raccoon
47,Painted Lady,Vanessa cardui,Animalia,insect,P0,iNaturalist species_counts,iconic_taxon=Insecta; common species by verifiable photo observations,48548,189066,Insecta,http://en.wikipedia.org/wiki/Vanessa_cardui
48,great mullein,Verbascum thapsus,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,59029,182005,Plantae,http://en.wikipedia.org/wiki/Verbascum_thapsus
49,Yellow-rumped Warbler,Setophaga coronata,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,145245,234830,Aves,http://en.wikipedia.org/wiki/Yellow-rumped_warbler
50,common milkweed,Asclepias syriaca,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,47911,182715,Plantae,http://en.wikipedia.org/wiki/Asclepias_syriaca
51,lesser celandine,Ficaria verna,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,204321,181996,Plantae,http://en.wikipedia.org/wiki/Ficaria_verna
