scientific_name,category,gbif_scientific_name,gbif_class,rank,match_type,confidence,status,usage_key,trusted,issues,error
cricetomys gambianus,mammal,"Cricetomys gambianus Waterhouse, 1840",Mammalia,SPECIES,EXACT,99,ACCEPTED,2438550,true,,
crocuta crocuta,mammal,"Crocuta crocuta (Erxleben, 1777)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5218781,true,,
cryptoprocta ferox,mammal,"Cryptoprocta ferox Bennett, 1833",Mammalia,SPECIES,EXACT,99,ACCEPTED,2433516,true,,
crypturellus atrocapillus,bird,"Crypturellus atrocapillus (Tschudi, 1844)",Aves,SPECIES,EXACT,99,ACCEPTED,2477529,true,,
crypturellus boucardi,bird,"Crypturellus boucardi (P.L.Sclater, 1860)",Aves,SPECIES,EXACT,99,ACCEPTED,2477567,true,,
crypturellus cinereus,bird,"Crypturellus cinereus (J.F.Gmelin, 1789)",Aves,SPECIES,EXACT,99,ACCEPTED,2477533,true,,
crypturellus cinnamomeus,bird,"Crypturellus cinnamomeus (Lesson, 1842)",Aves,SPECIES,EXACT,99,ACCEPTED,2477493,true,,
crypturellus erythropus,bird,"Crypturellus erythropus (Pelzeln, 1863)",Aves,SPECIES,EXACT,99,ACCEPTED,2477546,true,,
crypturellus pos bartletti,,"Crypturellus Brabourne & C.Chubb, 1914",Aves,GENUS,HIGHERRANK,94,ACCEPTED,2477492,false,,
crypturellus soui,bird,"Crypturellus soui (Hermann, 1783)",Aves,SPECIES,EXACT,99,ACCEPTED,2477507,true,,
crypturellus sp,,,,,NONE,100,,,false,,
crypturellus undulatus,bird,"Crypturellus undulatus (Temminck, 1815)",Aves,SPECIES,EXACT,99,ACCEPTED,2477560,true,,
crypturellus variegatus,bird,"Crypturellus variegatus (J.F.Gmelin, 1789)",Aves,SPECIES,EXACT,99,ACCEPTED,2477527,true,,
crypturelus sp,,,,,NONE,100,,,false,,
cuniculus paca,mammal,"Cuniculus paca (Linnaeus, 1766)",Mammalia,SPECIES,EXACT,99,ACCEPTED,4263039,true,,
cuniculus taczanowskii,mammal,"Cuniculus taczanowskii (Stolzmann, 1865)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5706515,true,,
cuon alpinus,mammal,"Cuon alpinus (Pallas, 1811)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2434317,true,,
cyanoptila cyanomelana,bird,"Cyanoptila cyanomelana (Temminck, 1829)",Aves,SPECIES,EXACT,99,ACCEPTED,2492391,true,,
cyornis banyumas,bird,"Cyornis banyumas (Horsfield, 1821)",Aves,SPECIES,EXACT,99,ACCEPTED,2492430,true,,
daptrius ater,bird,"Daptrius ater Vieillot, 1816",Aves,SPECIES,EXACT,99,ACCEPTED,2481073,true,,
dasiprocta punctata,,"Dasyprocta punctata Gray, 1842",Mammalia,SPECIES,FUZZY,85,ACCEPTED,2437576,false,,
dasyprocta fuliginosa,mammal,"Dasyprocta fuliginosa Wagler, 1832",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437581,true,,
dasyprocta leporina,mammal,"Dasyprocta leporina (Linnaeus, 1758)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437577,true,,
dasyprocta punctata,mammal,"Dasyprocta punctata Gray, 1842",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437576,true,,
dasypus kappleri,mammal,"Dasypus kappleri Krauss, 1862",Mammalia,SPECIES,EXACT,99,ACCEPTED,2440788,true,,
dasypus novemcinctus,mammal,"Dasypus novemcinctus Linnaeus, 1758",Mammalia,SPECIES,EXACT,99,ACCEPTED,2440779,true,,
daubentonia madagascariensis,mammal,"Daubentonia madagascariensis (Gmelin, 1788)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5219587,true,,
dendrocitta occipitalas,,"Dendrocitta occipitalis (S.Muller, 1836)",Aves,SPECIES,FUZZY,96,ACCEPTED,2482453,false,,
dendrocitta occipitalis,bird,"Dendrocitta occipitalis (S.Muller, 1836)",Aves,SPECIES,EXACT,99,ACCEPTED,2482453,true,,
dendrohyrax arboreus,mammal,"Dendrohyrax arboreus (A.Smith, 1827)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437044,true,,
dendroperdix sephaena,bird,"Dendroperdix sephaena (A.Smith, 1836)",Aves,SPECIES,EXACT,98,SYNONYM,5844225,true,,
deomys ferrugineus,mammal,"Deomys ferrugineus Thomas, 1888",Mammalia,SPECIES,EXACT,99,ACCEPTED,2438901,true,,
dicaeum trigonostigma,bird,"Dicaeum trigonostigma (Scopoli, 1786)",Aves,SPECIES,EXACT,99,ACCEPTED,2484724,true,,
dicerorhinus sumatrensis,mammal,"Dicerorhinus sumatrensis (G.Fischer, 1814)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2440878,true,,
diceros bicornis,mammal,"Diceros bicornis (Linnaeus, 1758)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5220111,true,,
dicrurus adsimilis,bird,"Dicrurus adsimilis (Bechstein, 1794)",Aves,SPECIES,EXACT,99,ACCEPTED,2493963,true,,
didelphis imperfecta,mammal,"Didelphis imperfecta Mondolfi & Pérez-Hernández, 1984",Mammalia,SPECIES,EXACT,99,ACCEPTED,2439929,true,,
didelphis marsupialis,mammal,"Didelphis marsupialis Linnaeus, 1758",Mammalia,SPECIES,EXACT,99,ACCEPTED,2439920,true,,
didelphis pernigra,mammal,"Didelphis pernigra J.A.Allen, 1900",Mammalia,SPECIES,EXACT,99,ACCEPTED,2439919,true,,
didelphis sp,,,,,NONE,100,,,false,,
didelphis virginiana,mammal,"Didelphis virginiana Kerr, 1792",Mammalia,SPECIES,EXACT,99,ACCEPTED,2439923,true,,
dioptrornis fischeri,bird,"Dioptrornis fischeri Reichenow, 1884",Aves,SPECIES,EXACT,99,ACCEPTED,2492414,true,,
dremomys rufigenis,mammal,"Dremomys rufigenis (Blanford, 1878)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437278,true,,
egretta thula,bird,"Egretta thula (Molina, 1782)",Aves,SPECIES,EXACT,99,ACCEPTED,2480873,true,,
eira barbara,mammal,"Eira barbara (Linnaeus, 1758)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2433716,true,,
elephas maximus,mammal,"Elephas maximus Linnaeus, 1758",Mammalia,SPECIES,EXACT,99,ACCEPTED,5219461,true,,
eliurus penicillatus,mammal,"Eliurus penicillatus Thomas, 1908",Mammalia,SPECIES,EXACT,99,ACCEPTED,2438528,true,,
eliurus petteri,mammal,"Eliurus petteri Carleton, 1994",Mammalia,SPECIES,EXACT,99,ACCEPTED,4263422,true,,
eliurus sp,,,,,NONE,100,,,false,,
eliurus spp,,"Eliurus Milne-Edwards, 1885",Mammalia,GENUS,HIGHERRANK,94,ACCEPTED,2438523,false,,
eliurus webbi,mammal,"Eliurus webbi Ellerman, 1949",Mammalia,SPECIES,EXACT,99,ACCEPTED,2438524,true,,
empty,,,,,NONE,100,,,false,,
end,,,,,NONE,100,,,false,,
enicurus leschenaulti,bird,"Enicurus leschenaulti (Vieillot, 1818)",Aves,SPECIES,EXACT,99,ACCEPTED,2492629,true,,
enicurus schistaceus,bird,"Enicurus schistaceus (Hodgson, 1836)",Aves,SPECIES,EXACT,99,ACCEPTED,2492628,true,,
equus africanus,mammal,"Equus africanus Heuglin & Fitzinger, 1866",Mammalia,SPECIES,EXACT,99,ACCEPTED,5787168,true,,
equus caballus,mammal,"Equus caballus Linnaeus, 1758",Mammalia,SPECIES,EXACT,99,ACCEPTED,2440886,true,,
equus ferus,mammal,"Equus ferus Boddaert, 1785",Mammalia,SPECIES,EXACT,97,ACCEPTED,4409270,true,,
equus grevyi,mammal,"Equus grevyi Oustalet, 1882",Mammalia,SPECIES,EXACT,99,ACCEPTED,2440894,true,,
equus quagga,mammal,"Equus quagga Boddaert, 1785",Mammalia,SPECIES,EXACT,98,ACCEPTED,2440892,true,,
erithacus cyane,,"Erithacus cyanurus (Pallas, 1773)",Aves,SPECIES,FUZZY,92,SYNONYM,7362767,false,,
erythrocebus patas,mammal,"Erythrocebus patas (Schreber, 1774)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2436548,true,,
eudorcas rufifrons,mammal,"Eudorcas rufifrons (Gray, 1846)",Mammalia,SPECIES,EXACT,99,ACCEPTED,7261425,true,,
eudorcas thomsonii,mammal,"Eudorcas thomsonii (Günther, 1884)",Mammalia,SPECIES,EXACT,99,ACCEPTED,7261427,true,,
eulemur albifrons,mammal,"Eulemur albifrons (É.Geoffroy Saint-Hilaire, 1796)",Mammalia,SPECIES,EXACT,99,ACCEPTED,9131667,true,,
euphractus sexcinctus,mammal,"Euphractus sexcinctus (Linnaeus, 1758)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2440799,true,,
eupleres goudotii,mammal,"Eupleres goudotii Doyère, 1835",Mammalia,SPECIES,EXACT,99,ACCEPTED,2433512,true,,
eupodotis senegalensis,bird,"Eupodotis senegalensis (Vieillot, 1820)",Aves,SPECIES,EXACT,99,ACCEPTED,2474890,true,,
eurocephalus rueppelli,bird,"Eurocephalus rueppelli Bonaparte, 1853",Aves,SPECIES,EXACT,98,SYNONYM,2492842,true,,
euryceros prevostii,bird,"Euryceros prevostii Lesson, 1831",Aves,SPECIES,EXACT,99,ACCEPTED,5231781,true,,
eurypyga helias,bird,"Eurypyga helias (Pallas, 1781)",Aves,SPECIES,EXACT,99,ACCEPTED,2474332,true,,
eutriorchis astur,bird,"Eutriorchis astur Sharpe, 1875",Aves,SPECIES,EXACT,99,ACCEPTED,2480471,true,,
falcon,,,,,NONE,100,,,false,,
felis chaus,mammal,"Felis chaus Schreber, 1777",Mammalia,SPECIES,EXACT,98,ACCEPTED,2435066,true,,
felis silvestris,mammal,"Felis silvestris Schreber, 1777",Mammalia,SPECIES,EXACT,99,ACCEPTED,7964291,true,,
felis sp,,,,,NONE,100,,,false,,
ficedula mugimaki,bird,"Ficedula mugimaki (Temminck, 1836)",Aves,SPECIES,EXACT,99,ACCEPTED,5231268,true,,
ficedula tricolor,bird,"Ficedula tricolor (Hodgson, 1845)",Aves,SPECIES,EXACT,99,ACCEPTED,5231270,true,,
flying insect,,,,,NONE,100,,,false,,
formicarius analis,bird,"Formicarius analis (Orbigny & Lafresnaye, 1837)",Aves,SPECIES,EXACT,99,ACCEPTED,2490551,true,,
formicarius colma,bird,"Formicarius colma Boddaert, 1783",Aves,SPECIES,EXACT,99,ACCEPTED,2490548,true,,
fossa fossana,mammal,"Fossa fossana (Müller, 1776)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2433529,true,,
francolinus africanus,bird,"Francolinus africanus Stephens, 1819",Aves,SPECIES,EXACT,98,SYNONYM,5227887,true,,
francolinus nobilis,bird,"Francolinus nobilis Reichenow, 1908",Aves,SPECIES,EXACT,98,SYNONYM,5227901,true,,
francolinus sp,,,,,NONE,100,,,false,,
funisciurus carruthersi,mammal,"Funisciurus carruthersi Thomas, 1906",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437416,true,,
funisciurus pyrropus,mammal,"Funisciurus pyrropus (F.Cuvier, 1833)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437411,true,,
galago senegalensis,mammal,"Galago senegalensis É.Geoffroy Saint-Hilaire, 1796",Mammalia,SPECIES,EXACT,99,ACCEPTED,9198359,true,,
galictis vittata,mammal,"Galictis vittata (Schreber, 1776)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5218906,true,,
galidia elegans,mammal,"Galidia elegans I.Geoffroy Saint-Hilaire, 1837",Mammalia,SPECIES,EXACT,99,ACCEPTED,2433507,true,,
galidictis fasciata,mammal,"Galidictis fasciata (Gmelin, 1788)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5218783,true,,
gallus gallus,bird,"Gallus gallus (Linnaeus, 1758)",Aves,SPECIES,EXACT,99,ACCEPTED,9326020,true,,
genetta genetta,mammal,"Genetta genetta (Linnaeus, 1758)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5219362,true,,
genetta maculata,mammal,"Genetta maculata (Gray, 1830)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5219355,true,,
genetta servalina,mammal,"Genetta servalina Pucheran, 1855",Mammalia,SPECIES,EXACT,99,ACCEPTED,5219342,true,,
genetta tigrina,mammal,"Genetta tigrina (Schreber, 1776)",Mammalia,SPECIES,EXACT,99,ACCEPTED,5219356,true,,
geobiastes squamiger,bird,"Geobiastes squamiger (Lafresnaye, 1838)",Aves,SPECIES,EXACT,99,ACCEPTED,2475336,true,,
geokichla citrina,bird,"Geokichla citrina (Latham, 1790)",Aves,SPECIES,EXACT,99,ACCEPTED,6100882,true,,
geokichla gurneyi,bird,"Geokichla gurneyi (Hartlaub, 1864)",Aves,SPECIES,EXACT,99,ACCEPTED,6100889,true,,
geotrygon montana,bird,"Geotrygon montana (Linnaeus, 1758)",Aves,SPECIES,EXACT,99,ACCEPTED,2496121,true,,
geotrygon saphirina,bird,"Geotrygon saphirina Bonaparte, 1855",Aves,SPECIES,EXACT,99,ACCEPTED,2496115,true,,
geotrygon sp,,,,,NONE,100,,,false,,
giraffa camelopardalis,mammal,"Giraffa camelopardalis (Linnaeus, 1758)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2441205,true,,
grallaria andicolus,bird,"Grallaria andicolus (Cabanis, 1873)",Aves,SPECIES,EXACT,99,ACCEPTED,7341001,true,,
group,,,,,NONE,100,,,false,,
guttera pucherani,bird,"Guttera pucherani (Hartlaub, 1861)",Aves,SPECIES,EXACT,99,ACCEPTED,2473325,true,,
haliaeetus vociferoides,bird,"Haliaeetus vociferoides Des Murs, 1845",Aves,SPECIES,EXACT,99,ACCEPTED,2480452,true,,
haploxypterus cayanus,,"Hoploxypterus cayanus (Latham, 1790)",Aves,SPECIES,FUZZY,85,ACCEPTED,2480250,false,,
harpia harpyja,bird,"Harpia harpyja (Linnaeus, 1758)",Aves,SPECIES,EXACT,99,ACCEPTED,2480516,true,,
harpyhaliaetus solitarius,bird,"Harpyhaliaetus solitarius (Tschudi, 1844)",Aves,SPECIES,EXACT,99,ACCEPTED,2480374,true,,
helarctos malayanus,mammal,"Helarctos malayanus (Raffles, 1822)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2433403,true,,
heliosciurus rufobrachium,mammal,"Heliosciurus rufobrachium (Waterhouse, 1842)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437540,true,,
heliosciurus ruwenzorii,mammal,"Heliosciurus ruwenzorii (Schwann, 1904)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437543,true,,
helogale parvula,mammal,"Helogale parvula (Sundevall, 1847)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2434165,true,,
hemicentetes semispinosus,mammal,"Hemicentetes semispinosus (G.Cuvier, 1798)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2432143,true,,
hemigalus derbyanus,mammal,"Hemigalus derbyanus (Gray, 1837)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2434623,true,,
hemitesia neumanni,bird,"Hemitesia neumanni (Rothschild, 1908)",Aves,SPECIES,EXACT,98,SYNONYM,2493171,true,,
herpailurus yaguarondi,mammal,"Herpailurus yaguarondi (Lacépède, 1809)",Mammalia,SPECIES,EXACT,98,SYNONYM,2435156,true,,
herpestes sanguineus,mammal,"Herpestes sanguineus (Rüppell, 1835)",Mammalia,SPECIES,EXACT,98,SYNONYM,5787207,true,,
herpestes semitorquatus,mammal,"Herpestes semitorquatus Gray, 1846",Mammalia,SPECIES,EXACT,98,ACCEPTED,2434296,true,,
herpestes urva,mammal,"Herpestes urva (Hodgson, 1836)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2434244,true,,
heterohyrax brucei,mammal,"Heterohyrax brucei (Gray, 1868)",Mammalia,SPECIES,EXACT,99,ACCEPTED,2437073,true,,
